"folioviv","","conex_inte","ing_cor","energia","comunica","menores"
"100502403","","1","203841.15","1050","2199","0"
"100502404","","1","242425.61","2179.11","3911.61","1"
"100502406","","1","240909.75","5012.9","4461.29","0"
"100504001","","1","76336.69","425.32","2517.96","0"
"100504002","","1","53358.22","450","750","0"
"100504003","","1","153018.39","1890","2020.64","0"
"100504006","","1","166062.68","1190.32","2230.64","0"
"100524201","","2","27057.72","1200","58.06","0"
"100524202","","1","40462.69","1084","1180.64","1"
"100524203","","1","29834.25","300","1035.48","2"
"100524204","","2","30362.82","1560","840","1"
"100524205","","1","75723.6","764.1","780","1"
"100524206","","1","26746.55","1200","1730.32","2"
"100530501","","1","64915.05","2370","3251.61","1"
"100530502","","1","32072.74","300","1600.64","0"
"100530503","","2","42286.77","2158.54","580.64","0"
"100530504","","1","102638.47","600","2990.32","1"
"100530506","","2","33879.02","2213.95","870.96","0"
"100534301","","1","46112.34","2319.67","1560","1"
"100534303","","1","33070.06","1821.77","1940.32","0"
"100534304","","1","87554.32","4834.83","2100","0"
"100534305","","2","70371.66","2611.93","2380.64","3"
"100534306","","1","61313.39","420","1430.32","0"
"100540901","","1","81136.36","193.5","4377","0"
"100540903","","1","79875.73","2017.59","2830.64","2"
"100540905","","2","33901.57","226.5","580.64","0"
"100540906","","1","30401.01","2292.09","1620.96","0"
"100552402","","1","52710.09","1380","2598.29","4"
"100552403","","1","134612.85","1611.29","7167","1"
"100552405","","1","27403.15","375","1500","1"
"100552406","","2","22010.85","1896.53","290.32","1"
"100555001","","1","61583.06","525","2400","2"
"100555003","","1","38838.52","2745","1095","3"
"100555004","","2","45492.27","1320.96","1161.29","4"
"100568801","","1","45172.04","600","2610","1"
"100568802","","1","48031.02","600","2160","0"
"100568803","","2","24390.1","174","210","0"
"100568804","","1","82524.55","1522.5","4920","1"
"100568805","","2","42596.93","1590","900","0"
"100568806","","1","60449.49","903","1650","0"
"100569402","","2","28748.32","135","580.64","1"
"100569403","","2","35660.14","600","435.48","1"
"100569404","","1","30647.48","600","580.64","2"
"100569405","","2","18205.41","290.32","58.06","2"
"100569406","","2","22220.49","348","580.64","1"
"100578002","","1","67813.93","2434.93","1312.16","0"
"100578003","","2","13657.71","870","580.64","3"
"100578004","","1","94173.11","1984.82","1345.16","0"
"100578005","","1","103327.99","450","2535.48","0"
"100578006","","1","73369.55","2075.8","3450","2"
"100579602","","1","48978.85","1290","3180","2"
"100579603","","1","64596.28","1063.5","1350","1"
"100579604","","2","263114.75","900","12000","0"
"100579605","","1","53437.22","525","3000","1"
"100579606","","2","25627.29","90","570","0"
"100590701","","1","60681.22","1333.5","1257","0"
"100590702","","1","63090.64","1368","1680","0"
"100590703","","1","108435.33","645","2367","0"
"100590704","","1","125325.24","2475","1467","0"
"100590705","","1","58057.34","2130","1890","0"
"100592203","","1","49474.83","675","4107","0"
"100592204","","1","163177.07","2581.93","1742.58","0"
"100592205","","1","134748.12","1480.64","2216.12","0"
"100592206","","2","33081.3","300","50","0"
"100595601","","1","59852.45","4620","2967","0"
"100595602","","1","58968.24","1177.5","1860","3"
"100595604","","2","22711.65","600","600","3"
"100595605","","1","23877.04","1740","2550","2"
"100595606","","2","51683.14","2262","1950","2"
"100613601","","1","47230.79","2175","2640","0"
"100613602","","1","192202.94","4680","10320","0"
"100613603","","2","44260.13","2580","600","0"
"100613604","","1","67218.03","2140.5","2460","0"
"100613605","","1","101286.84","2250","8280","0"
"100620704","","1","109730.48","1200","4320","0"
"100620705","","1","127040.67","1633.5","2634","0"
"100620706","","1","136110.74","1800","2340","0"
"100621201","","1","62785.85","525","2328.29","1"
"100621202","","2","50121.54","420","2700","2"
"100621203","","1","125275.2","2100","2037.96","0"
"100621205","","1","60132.09","1185","1925.8","0"
"100628501","","1","80301.43","3126","2208.29","2"
"100628502","","2","28218.44","1761.96","1231.64","0"
"100628503","","2","26951.12","1924.93","1500","0"
"100628504","","1","78401.06","240","2560.54","0"
"100628505","","2","19729.51","1243.5","580.64","1"
"100628506","","2","41394.36","1320","725.8","2"
"100638301","","1","66131.99","1255.64","2080.64","0"
"100638302","","2","13926.01","817.98","145.16","0"
"100638305","","2","61826.08","1245.96","1500","0"
